"SubjectCode","CourseNumber","CourseUniqueId","CLODescription","ProcessDate","TermCode","SortOrder"
"CPD","150","108020CPD","4172.1.Identify and describe campus support services. (I)","2023-11-29","4236","1"
"CPD","150","108020CPD","4172.2.Identify and apply time-management strategies. (II)","2023-11-29","4236","2"
"CPD","150","108020CPD","4172.3.Identify and apply goal-setting strategies. (III)","2023-11-29","4236","3"
"CPD","150","108020CPD","4172.4.Identify preferred learning strategies and describe the relationship to teaching and learning. (IV)","2023-11-29","4236","4"
"CPD","150","108020CPD","4172.5.Identify and utilize interpersonal communication skills. (V)","2023-11-29","4236","5"
"CPD","150","108020CPD","4172.6.Identify and utilize strategies to organize study materials. (VI)","2023-11-29","4236","6"
"CPD","150","108020CPD","4172.7.Identify and utilize note-taking strategies. (VII)","2023-11-29","4236","7"
"CPD","150","108020CPD","4172.8.Identify and utilize course materials and reading strategies. (VIII)","2023-11-29","4236","8"
"CPD","150","108020CPD","4172.9.Identify and utilize test-taking strategies. (IX)","2023-11-29","4236","9"
"CPD","150","108020CPD","4172.10.Identify and utilize strategies to improve memory. (X)","2023-11-29","4236","10"
"CPD","150","108020CPD","4172.11.Identify and utilize strategies for critical and creative thinking. (XI)","2023-11-29","4236","11"
"CPD","150","108020CPD","4172.12.Describe the process of educational and career planning. (XII)","2023-11-29","4236","12"
"CPD","150","108020CPD","4172.13.Describe current occupational trends and outlooks. (XIII)","2023-11-29","4236","13"
"CPD","150","108020CPD","4172.14.Utilize career planning resources. (XIV)","2023-11-29","4236","14"
"CPD","150","108020CPD","4172.15.Develop an educational plan. (XV)","2023-11-29","4236","15"
"CPD","150AA","108022CPD","4216.1.Identify and describe campus student support resources.  (I)","2023-11-29","4236","1"
"CPD","150AA","108022CPD","4216.2.Identify and apply time-management strategies.  (II)","2023-11-29","4236","2"
"CPD","150AA","108022CPD","4216.3.Utilize effective listening techniques.  (II)","2023-11-29","4236","3"
"CPD","150AA","108022CPD","4216.4.Apply effective notetaking from lectures and textbooks.  (II)","2023-11-29","4236","4"
"CPD","150AA","108022CPD","4216.5.Identify and apply goal-setting strategies.  (III)","2023-11-29","4236","5"
"CPD","150AA","108022CPD","4216.6.Utilize effective cognitive mapping techniques to reduce information.  (III)","2023-11-29","4236","6"
"CPD","150AA","108022CPD","4216.7.Utilize effective charting techniques to reduce information.  (III)","2023-11-29","4236","7"
"CPD","150AA","108022CPD","4216.8.Utilize effective summarizing techniques to reduce information.  (III)","2023-11-29","4236","8"
"CPD","150AA","108022CPD","4216.9.Identify preferred learning style and describe it's relationship to teaching and learning strategies.  (IV)","2023-11-29","4236","9"
"CPD","150AA","108022CPD","4216.10.Utilize a logical and systematic method for effective textbook reading and studying.  (IV)","2023-11-29","4236","10"
"CPD","150AA","108022CPD","4216.11.Utilize effective steps for previewing, understanding, and recalling material to be learned.  (IV)","2023-11-29","4236","11"
"CPD","150AA","108022CPD","4216.12.Identify and utilize interpersonal communication skills.  (V)","2023-11-29","4236","12"
"CPD","150AA","108022CPD","4216.13.Manage effective physical study environments.  (V)","2023-11-29","4236","13"
"CPD","150AA","108022CPD","4216.14.Organize effective study time and material.  (V)","2023-11-29","4236","14"
"CPD","150AA","108022CPD","4216.15.Select appropriate test-taking techniques.  (V)","2023-11-29","4236","15"
"CPD","150AB","108024CPD","4216.1.Identify and utilize strategies to organize study materials. (I)","2023-11-29","4236","1"
"CPD","150AB","108024CPD","4216.2.Identify and utilize note-taking strategies. (II)","2023-11-29","4236","2"
"CPD","150AB","108024CPD","4216.3.Identify and utilize textbook, academic, and classroom strategies. (III)","2023-11-29","4236","3"
"CPD","150AB","108024CPD","4216.4.Identify and utilize test-taking strategies. (IV)","2023-11-29","4236","4"
"CPD","150AB","108024CPD","4216.5.Identify and utilize strategies to improve memory. (V)","2023-11-29","4236","5"
"CPD","150AB","108024CPD","4216.6.Identify and utilize strategies for critical and creative thinking. (VI)","2023-11-29","4236","6"
"CPD","150AB","108024CPD","4216.7.Model a preferred stress reduction imagery process applicable to learning processes. (VII)","2023-11-29","4236","7"
"CPD","150AB","108024CPD","4216.8.Identify preferred learning style components and describe how they apply to learning strategies. (VIII)","2023-11-29","4236","8"
"CPD","150AB","108024CPD","4216.9.Write intention and discovery statements. (IX)","2023-11-29","4236","9"
"CPD","150AB","108024CPD","4216.10.List tips for good listening. (X)","2023-11-29","4236","10"
"CPD","150AB","108024CPD","4216.11.List ways to block communication with patterns for change. (XI)","2023-11-29","4236","11"
"CPD","150AB","108024CPD","4216.12.State ways to deal constructively with criticism. (XII)","2023-11-29","4236","12"
"CPD","150AB","108024CPD","4216.13.Describe the Make It Meaningful concept. (XIII)","2023-11-29","4236","13"
"CPD","150AC","108026CPD","4196.1.Define basic terminology and concepts related to educational planning and career exploration.  (I) ","2023-11-29","4236","1"
"CPD","150AC","108026CPD","4196.2.Describe the career exploration process steps of self-awareness, information gathering, decision-making, and taking action.  (II) ","2023-11-29","4236","2"
"CPD","150AC","108026CPD","4196.3.Utilize self-assessment tools for exploring interests, values, skills, and personality preferences within the world of work.  (III) ","2023-11-29","4236","3"
"CPD","150AC","108026CPD","4196.4.Analyze self-assessment results to guide research into career options utilizing occupational and educational information tools.  (IV) ","2023-11-29","4236","4"
"CPD","150AC","108026CPD","4196.5.Identify resources for ongoing research and assistance with educational/career goals in response to occupational trends and technological changes in a global marketplace.  (V) ","2023-11-29","4236","5"
"CPD","150AC","108026CPD","4196.6.Articulate an actionable plan to pursue educational and career goals.  (VI) ","2023-11-29","4236","6"
"ACC","111","108260ACC","3946.1.Demonstrate generally accepted accounting principles. (I)","2023-11-29","4236","1"
"ACC","111","108260ACC","3946.2.Analyze, journalize, and post business transactions using debits and credits. (II)","2023-11-29","4236","2"
"ACC","111","108260ACC","3946.3.Prepare a simplified balance sheet and income statement. (III)","2023-11-29","4236","3"
"ACC","111","108260ACC","3946.4.Compare and contrast accrual and cash basis methods of accounting. (IV)","2023-11-29","4236","4"
"ACC","111","108260ACC","3946.5.Prepare an eight-column worksheet and make required adjusting, closing, and reversing entries to complete the accounting cycle. (V)","2023-11-29","4236","5"
"ACC","111","108260ACC","3946.6.Describe accounting procedures applicable to a merchandising business. (VI)","2023-11-29","4236","6"
"ACC","111","108260ACC","3946.7.Use special journals and subsidiary ledgers. (VII)","2023-11-29","4236","7"
"ACC","111","108260ACC","3946.8.Describe a petty cash system. (VIII)","2023-11-29","4236","8"
