"PLOCode","PLOName","PLODescription","ProgramCode","AcademicProgram","CollegeCode","DepartmentCode"
"3059.4226.1","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.1","Apply a fundamental understanding of the relevant scientific concepts of human anatomy and physiology, biomechanics and psychology. (BIO160, BIO181++, BIO201++, EXS101, EXS125, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, EXS270++, EXS275++, FON100, FON241, PSY101)","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.2","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.2","Locate and evaluate relevant scholarly literature. (EXS101, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, EXS290, FON100, FON241, HES100, [FYC], (COM), (CRE))","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.3","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.3","Conduct advanced evidence-based assessments of health and human movement. (EMT101, EXS101, EXS125, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, HES106, [MA])","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.4","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.4","Design evidence-based physical activity programs tailored to client goals and needs. (EXS101, EXS125, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, EXS270++, EXS275++, FON100, FON241, HES100, PED101ST, [MA])","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.5","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.5","Implement evidence-based physical activity programs tailored to client goals and needs. (EXS101, EXS125, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, EXS270++, EXS275++, FON100, FON241, PED101ST)","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.6","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.6","Apply theories of motivation and behavior change to develop and implement basic strategies for improving exercise adoption and adherence. (EXS101, EXS215, EXS217, EXS257, EXS270++, EXS275++, HES100, PSY101)","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.7","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.7","Adapt instructional techniques to ensure client safety and goal attainment. (EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, EXS270++, EXS275++, HES210, PED101ST, PED101++)","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.8","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.8","Apply industry standards of care to mitigate risk and ensure the safety of clients. (EMT101, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, HES106, HES210)","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.9","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.9","Communicate through a variety of written and spoken modalities within diverse contexts. (EMT101, EXS101, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, EXS270++, EXS275++, HES100, HES106, HES210, [FYC], (COM), (CRE), [HU])","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.10","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.10","Demonstrate industry-accepted professional, ethical, and business standards. (EMT101, EXS101, EXS146, EXS215, EXS217, EXS246, EXS255, EXS257, EXS270++, EXS275++, HES106, PED101ST, PED101++, [FYC], (COM), (CRE), [HU])","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3059.4226.11","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)-4226.11","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3059AAS","3059 - Exercise Science: Health, Fitness, and Sports Performance (AAS)","08HLTSCPUB","HLTSCPUB.ESHPERW"
"3070.4226.1","3070 - Management (AAS)-4226.1","Use basic accounting principles to develop and maintain business financial records. (ACC110, ACC111, ACC112)","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.2","3070 - Management (AAS)-4226.2","Solve basic mathematical problems including discounts, markups, interest, credit, payroll, simple income tax, depreciation, financial statement, and insurance. (ACC110, ACC111, ACC112, GBS131, [MA])","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.3","3070 - Management (AAS)-4226.3","Apply current technology to specific business tasks. (BPC110, CIS105, CIS114DE, CIS224)","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.4","3070 - Management (AAS)-4226.4","Apply functions of modern business, including business principles, marketing, labor relations, and risk to business situations. (GBS151, IBS101, MKT271, MGT+++, TQM230, TQM240)","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
